"year","month","ACLED_BRD_state","ACLED_BRD_nonstate","ACLED_BRD_total","Shape_Leng","Shape_Area","ADM3_EN","ADM3_PCODE","ADM3_REF","ADM3ALT1EN","ADM3ALT2EN","ADM2_EN","ADM2_PCODE","ADM1_EN","ADM1_PCODE","ADM0_EN","ADM0_PCODE","date","validOn","validTo","GID_0","GID_1","GID_2","GID_3"
2020,11,0,30,30,3.70387953724,0.243818810223,"Tahtay Adiyabo","ET010101",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010101"
2020,11,0,20,20,3.70387953724,0.243818810223,"Tahtay Adiyabo","ET010101",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010101"
2021,1,0,16,16,3.70387953724,0.243818810223,"Tahtay Adiyabo","ET010101",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010101"
2021,1,0,40,40,3.70387953724,0.243818810223,"Tahtay Adiyabo","ET010101",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010101"
2022,5,0,1,1,3.70387953724,0.243818810223,"Tahtay Adiyabo","ET010101",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010101"
2022,9,10,40,50,3.70387953724,0.243818810223,"Tahtay Adiyabo","ET010101",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010101"
2023,6,0,3,3,3.70387953724,0.243818810223,"Tahtay Adiyabo","ET010101",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010101"
2020,11,0,5,5,2.38619318374,0.0720648404202,"Tahtay Koraro","ET010104",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010104"
2020,12,0,3,3,2.38619318374,0.0720648404202,"Tahtay Koraro","ET010104",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010104"
2022,8,4,0,4,2.38619318374,0.0720648404202,"Tahtay Koraro","ET010104",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010104"
2022,9,4,0,4,2.38619318374,0.0720648404202,"Tahtay Koraro","ET010104",NA,NA,NA,"North Western","ET0101","Tigray","ET01","Ethiopia","ET",2021-12-09,2021-12-14,NA,"ETH","ET01","ET0101","ET010104"
